Date,Utilization of Refinery in %,Production,Demand,Contract 1 FP,Global Sale (in millions),Last Day's Price,Price
2018-05-28,94.2,4618.555632183908,4439.359425287356,67.88,2.373895274275862,69.29499816894531,67.30500030517578
2018-05-29,94.5,4618.548352490421,4439.465134099617,66.73,2.3746968860689655,67.87999725341797,66.7300033569336
2018-05-30,94.80000000000001,4618.541072796935,4439.570842911878,68.21,2.375498497862069,66.7300033569336,68.20999908447266
2018-05-31,95.10000000000001,4618.533793103448,4439.676551724138,67.04,2.376300109655172,68.20999908447266,67.04000091552734
2018-06-01,95.4,4618.526513409962,4439.782260536399,65.81,2.377101721448276,67.04000091552734,65.80999755859375
2018-06-04,95.46000000000001,4618.519233716475,4439.88796934866,64.75,2.3779033332413793,65.80999755859375,64.75
2018-06-05,95.52000000000001,4618.511954022988,4439.993678160919,65.52,2.3787049450344826,64.75,65.5199966430664
2018-06-06,95.58,4618.5046743295015,4440.09938697318,64.73,2.379506556827586,65.5199966430664,64.7300033569336
2018-06-07,95.64,4618.497394636015,4440.205095785441,65.95,2.3803081686206897,64.7300033569336,65.94999694824219
2018-06-08,95.7,4618.490114942529,4440.3108045977015,65.74,2.381109780413793,65.94999694824219,65.73999786376953
2018-06-11,95.9,4618.482835249042,4440.416513409962,66.1,2.3819113922068964,65.73999786376953,66.0999984741211
2018-06-12,96.10000000000001,4618.475555555556,4440.522222222223,66.36,2.3827130039999997,66.0999984741211,66.36000061035156
2018-06-13,96.3,4618.468275862069,4440.6279310344835,66.64,2.3835146157931035,66.36000061035156,66.63999938964844
2018-06-14,96.5,4618.460996168582,4440.733639846743,66.89,2.384316227586207,66.63999938964844,66.88999938964844
2018-06-15,96.7,4618.4537164750955,4440.839348659004,65.06,2.38511783937931,66.88999938964844,65.05999755859375
2018-06-18,96.86,4618.446436781609,4440.945057471265,65.85,2.3859194511724136,65.05999755859375,65.8499984741211
2018-06-19,97.02,4618.439157088123,4441.050766283525,65.07,2.3867210629655173,65.8499984741211,65.06999969482422
2018-06-20,97.18,4618.431877394636,4441.156475095786,66.22,2.3875226747586207,65.06999969482422,66.22000122070312
2018-06-21,97.34,4618.42459770115,4441.262183908047,65.54,2.388324286551724,66.22000122070312,65.54000091552734
2018-06-22,97.5,4618.417318007662,4441.367892720306,68.58,2.3891258983448274,65.54000091552734,68.58000183105469
2018-06-25,97.42,4618.410038314176,4441.473601532567,68.08,2.389927510137931,68.58000183105469,68.08000183105469
2018-06-26,97.34,4618.402758620689,4441.579310344828,70.53,2.3907291219310345,68.08000183105469,70.52999877929688
2018-06-27,97.25999999999999,4618.395478927203,4441.685019157088,72.76,2.391530733724138,70.52999877929688,72.76000213623047
2018-06-28,97.17999999999999,4618.3881992337165,4441.790727969349,73.45,2.392332345517241,72.76000213623047,73.44999694824219
2018-06-29,97.1,4618.38091954023,4441.89643678161,74.15,2.393133957310345,73.44999694824219,74.1500015258789
2018-07-02,97.02,4618.373639846744,4442.00214559387,73.94,2.3939355691034483,74.1500015258789,73.94000244140625
2018-07-03,96.94,4618.366360153256,4442.10785440613,74.14,2.3947371808965516,73.94000244140625,74.13999938964844
2018-07-04,96.86,4618.35908045977,4442.213563218391,74.14,2.395538792689655,74.04000091552734,73.54000091552734
2018-07-05,96.78,4618.351800766283,4442.3192720306515,72.94,2.3963404044827588,74.13999938964844,72.94000244140625
2018-07-06,96.7,4618.344521072797,4442.424980842912,73.8,2.397142016275862,72.94000244140625,73.80000305175781
2018-07-09,96.22,4618.33724137931,4442.530689655173,73.85,2.3979436280689654,73.80000305175781,73.8499984741211
2018-07-10,95.74,4618.329961685824,4442.6363984674335,74.11,2.398745239862069,73.8499984741211,74.11000061035156
2018-07-11,95.26,4618.3226819923375,4442.742107279694,70.38,2.3995468516551726,74.11000061035156,70.37999725341797
2018-07-12,94.78,4618.31540229885,4442.847816091954,70.33,2.400348463448276,70.37999725341797,70.33000183105469
2018-07-13,94.3,4618.308122605364,4442.953524904215,71.01,2.4011500752413792,70.33000183105469,71.01000213623047
2018-07-16,94.2,4618.300842911877,4443.059233716475,68.06,2.4019516870344826,71.01000213623047,68.05999755859375
2018-07-17,94.1,4618.293563218391,4443.164942528736,68.08,2.4027532988275864,68.05999755859375,68.08000183105469
2018-07-18,94.0,4618.286283524904,4443.270651340997,68.76,2.4035549106206897,68.08000183105469,68.76000213623047
2018-07-19,93.89999999999999,4618.279003831418,4443.376360153257,69.46,2.404356522413793,68.76000213623047,69.45999908447266
2018-07-20,93.8,4618.2717241379305,4443.482068965517,70.46,2.4051581342068964,69.45999908447266,70.45999908447266
2018-07-23,94.25999999999999,4618.264444444444,4443.587777777778,67.89,2.405959746,70.45999908447266,67.88999938964844
2018-07-24,94.72,4618.257164750958,4443.693486590038,68.52,2.4067613577931035,67.88999938964844,68.5199966430664
2018-07-25,95.17999999999999,4618.249885057471,4443.799195402299,69.3,2.407562969586207,68.5199966430664,69.30000305175781
2018-07-26,95.64,4618.242605363985,4443.90490421456,69.61,2.40836458137931,69.30000305175781,69.61000061035156
2018-07-27,96.1,4618.235325670498,4444.0106130268205,68.69,2.409166193172414,69.61000061035156,68.69000244140625
2018-07-30,96.19999999999999,4618.228045977012,4444.116321839081,70.13,2.4099678049655173,68.69000244140625,70.12999725341797
2018-07-31,96.3,4618.220766283524,4444.222030651341,68.76,2.4107694167586207,70.12999725341797,68.76000213623047
2018-08-01,96.39999999999999,4618.213486590038,4444.327739463602,67.66,2.411571028551724,68.76000213623047,67.66000366210938
2018-08-02,96.5,4618.2062068965515,4444.433448275862,68.96,2.4123726403448273,67.66000366210938,68.95999908447266
2018-08-03,96.6,4618.198927203065,4444.539157088123,68.49,2.413174252137931,68.95999908447266,68.48999786376953
2018-08-06,96.89999999999999,4618.191647509579,4444.644865900384,69.01,2.4139758639310345,68.48999786376953,69.01000213623047
2018-08-07,97.19999999999999,4618.184367816092,4444.750574712644,69.17,2.414777475724138,69.01000213623047,69.16999816894531
2018-08-08,97.5,4618.177088122606,4444.856283524905,66.94,2.4155790875172416,69.16999816894531,66.94000244140625
2018-08-09,97.8,4618.169808429118,4444.961992337165,66.81,2.416380699310345,66.94000244140625,66.80999755859375
2018-08-10,98.1,4618.162528735632,4445.067701149425,67.63,2.4171823111034483,66.80999755859375,67.62999725341797
2018-08-13,98.1,4618.155249042145,4445.173409961686,67.2,2.4179839228965516,67.62999725341797,67.19999694824219
2018-08-14,98.1,4618.147969348659,4445.279118773947,67.04,2.418785534689655,67.19999694824219,67.04000091552734
2018-08-15,98.1,4618.1406896551725,4445.384827586207,65.01,2.4195871464827587,67.04000091552734,65.01000213623047
2018-08-16,98.1,4618.133409961686,4445.490536398468,65.46,2.420388758275862,65.01000213623047,65.45999908447266
2018-08-17,98.1,4618.126130268199,4445.596245210728,65.91,2.4211903700689654,65.45999908447266,65.91000366210938
2018-08-20,97.74,4618.118850574712,4445.7019540229885,66.43,2.4219919818620688,65.91000366210938,66.43000030517578
2018-08-21,97.38,4618.111570881226,4445.807662835249,67.35,2.4227935936551726,66.43000030517578,67.3499984741211
2018-08-22,97.02,4618.104291187739,4445.91337164751,67.86,2.423595205448276,67.3499984741211,67.86000061035156
2018-08-23,96.66,4618.097011494253,4446.0190804597705,67.83,2.4243968172413792,67.86000061035156,67.83000183105469
2018-08-24,96.3,4618.0897318007665,4446.124789272031,68.72,2.4251984290344826,67.83000183105469,68.72000122070312
2018-08-27,96.36,4618.08245210728,4446.230498084292,68.87,2.4260000408275864,68.72000122070312,68.87000274658203
2018-08-28,96.42,4618.075172413793,4446.336206896552,68.53,2.4268016526206897,68.87000274658203,68.52999877929688
2018-08-29,96.47999999999999,4618.067892720306,4446.441915708812,69.51,2.427603264413793,68.52999877929688,69.51000213623047
2018-08-30,96.53999999999999,4618.06061302682,4446.547624521073,70.25,2.4284048762068964,69.51000213623047,70.25
2018-08-31,96.6,4618.053333333333,4446.653333333334,69.8,2.429206488,70.25,69.80000305175781
2018-09-03,96.8,4618.046053639847,4446.759042145594,69.8,2.4300080997931035,70.0250015258789,69.83500289916992
2018-09-04,97.0,4618.03877394636,4446.864750957855,69.87,2.430809711586207,69.80000305175781,69.87000274658203
2018-09-05,97.19999999999999,4618.031494252874,4446.970459770116,68.72,2.43161132337931,69.87000274658203,68.72000122070312
2018-09-06,97.39999999999999,4618.024214559387,4447.076168582375,67.77,2.432412935172414,68.72000122070312,67.7699966430664
2018-09-07,97.6,4618.0169348659,4447.181877394636,67.75,2.4332145469655173,67.7699966430664,67.75
2018-09-10,97.16,4618.009655172414,4447.287586206897,67.54,2.4340161587586207,67.75,67.54000091552734
2018-09-11,96.72,4618.002375478927,4447.393295019157,69.25,2.434817770551724,67.54000091552734,69.25
2018-09-12,96.28,4617.995095785441,4447.499003831418,70.37,2.4356193823448278,69.25,70.37000274658203
2018-09-13,95.84,4617.987816091954,4447.604712643679,68.59,2.436420994137931,70.37000274658203,68.58999633789062
2018-09-14,95.4,4617.980536398468,4447.7104214559395,68.99,2.4372226059310345,68.58999633789062,68.98999786376953
2018-09-17,94.4,4617.9732567049805,4447.816130268199,68.91,2.438024217724138,68.98999786376953,68.91000366210938
2018-09-18,93.4,4617.965977011494,4447.92183908046,69.85,2.4388258295172416,68.91000366210938,69.8499984741211
2018-09-19,92.4,4617.958697318008,4448.027547892721,71.12,2.439627441310345,69.8499984741211,71.12000274658203
2018-09-20,91.4,4617.951417624521,4448.133256704981,70.8,2.4404290531034483,71.12000274658203,70.80000305175781
2018-09-21,90.4,4617.944137931035,4448.238965517242,70.78,2.4412306648965516,70.80000305175781,70.77999877929688
2018-09-24,90.4,4617.936858237548,4448.344674329503,72.08,2.4420322766896554,70.77999877929688,72.08000183105469
2018-09-25,90.4,4617.929578544061,4448.450383141762,72.28,2.4428338884827587,72.08000183105469,72.27999877929688
2018-09-26,90.4,4617.922298850574,4448.556091954023,71.57,2.443635500275862,72.27999877929688,71.56999969482422
2018-09-27,90.4,4617.915019157088,4448.661800766284,72.12,2.4444371120689654,71.56999969482422,72.12000274658203
2018-09-28,90.4,4617.9077394636015,4448.767509578544,73.25,2.445238723862069,72.12000274658203,73.25
2018-10-01,90.08,4617.900459770115,4448.873218390805,75.3,2.4460403356551725,73.25,75.30000305175781
2018-10-02,89.76,4617.893180076629,4448.978927203066,75.23,2.446841947448276,75.30000305175781,75.2300033569336
2018-10-03,89.44,4617.885900383142,4449.084636015326,76.41,2.447643559241379,75.2300033569336,76.41000366210938
2018-10-04,89.12,4617.878620689655,4449.190344827586,74.33,2.448445171034483,76.41000366210938,74.33000183105469
2018-10-05,88.8,4617.871340996168,4449.296053639847,74.34,2.4492467828275863,74.33000183105469,74.33999633789062
2018-10-08,88.8,4617.864061302682,4449.4017624521075,74.29,2.4500483946206897,74.33999633789062,74.29000091552734
2018-10-09,88.8,4617.856781609195,4449.507471264368,74.96,2.450850006413793,74.29000091552734,74.95999908447266
2018-10-10,88.8,4617.849501915709,4449.613180076629,73.17,2.4516516182068964,74.95999908447266,73.16999816894531
2018-10-11,88.8,4617.8422222222225,4449.7188888888895,70.97,2.45245323,73.16999816894531,70.97000122070312
2018-10-12,88.8,4617.834942528736,4449.82459770115,71.34,2.4532548417931035,70.97000122070312,71.33999633789062
2018-10-15,88.88,4617.827662835249,4449.93030651341,71.78,2.454056453586207,71.33999633789062,71.77999877929688
2018-10-16,88.96,4617.820383141762,4450.036015325671,71.92,2.4548580653793106,71.77999877929688,71.91999816894531
2018-10-17,89.04,4617.813103448276,4450.141724137931,69.75,2.455659677172414,71.91999816894531,69.75
2018-10-18,89.12,4617.805823754789,4450.247432950192,68.65,2.4564612889655173,69.75,68.6500015258789
2018-10-19,89.2,4617.798544061303,4450.353141762453,69.12,2.4572629007586206,68.6500015258789,69.12000274658203
2018-10-22,89.24000000000001,4617.791264367816,4450.458850574713,69.17,2.458064512551724,69.12000274658203,69.16999816894531
2018-10-23,89.28,4617.783984674329,4450.564559386973,66.43,2.4588661243448278,69.16999816894531,66.43000030517578
2018-10-24,89.32000000000001,4617.776704980843,4450.670268199234,66.82,2.459667736137931,66.43000030517578,66.81999969482422
2018-10-25,89.36,4617.769425287356,4450.775977011494,67.33,2.4604693479310344,66.81999969482422,67.33000183105469
2018-10-26,89.4,4617.76214559387,4450.881685823755,67.59,2.461270959724138,67.33000183105469,67.58999633789062
2018-10-29,89.52000000000001,4617.754865900383,4450.987394636016,67.04,2.4620725715172416,67.58999633789062,67.04000091552734
2018-10-30,89.64,4617.747586206897,4451.093103448276,66.18,2.462874183310345,67.04000091552734,66.18000030517578
2018-10-31,89.76,4617.74030651341,4451.198812260537,65.31,2.4636757951034483,66.18000030517578,65.30999755859375
2018-11-01,89.88,4617.733026819923,4451.304521072797,63.69,2.4644774068965516,65.30999755859375,63.689998626708984
2018-11-02,90.0,4617.7257471264365,4451.410229885058,63.14,2.4652790186896554,63.689998626708984,63.13999938964844
2018-11-05,90.02,4617.71846743295,4451.515938697318,63.1,2.4660806304827587,63.13999938964844,63.099998474121094
2018-11-06,90.03999999999999,4617.711187739464,4451.621647509579,62.21,2.466882242275862,63.099998474121094,62.209999084472656
2018-11-07,90.06,4617.703908045977,4451.72735632184,61.67,2.4676838540689654,62.209999084472656,61.66999816894531
2018-11-08,90.08,4617.696628352491,4451.8330651341,60.67,2.468485465862069,61.66999816894531,60.66999816894531
2018-11-09,90.1,4617.689348659004,4451.938773946361,60.19,2.4692870776551725,60.66999816894531,60.189998626708984
